golden_example_id,customer_message,gold_intent,predicted_intent,intent_correct,intent_source,intent_confidence_band,intent_margin,retrieval_top_score,grounded,evidence_quality,actionability,best_evidence_rank,draft_response,needs_more_information,should_escalate,escalation_reason,human_should_escalate
179,Got Prime to see if its worth it....still deciding. Cutting it close @115821 @AmazonHelp https://t.co/uyQO3WBLAz,delivery_status,delivery_problem,False,minilm,low,0.018158674240112305,0.7546019554138184,True,strong,high,1,"I'm sorry to hear you're having issues with your deliveries, @115821. Two-Day Shipping refers to the transit time after an order has shipped. If the delivery date we provided has passed, please check your original confirmation email for the delivery date. Have we missed this date on any recent orders? ^SB",True,True,intent classification is ambiguous; additional customer information is required,False
183,"@116928 Podemos hablar por MP,",delivery_status,returns_replacements,False,minilm,low,0.027566850185394287,0.8376202583312988,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
184,"2/2 Myself &amp; others have discovered programming problems that since #JULY @115821's programmers have refused to fix  - Here is one - See video:
@AmazonHelp @123644 #badcustomerservice https://t.co/PjklkyGjev",digital_product_support,digital_product_support,True,minilm,low,0.029567211866378784,0.5439708232879639,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
185,"架空請求のSMS来た
Amazonで有料動画とか見覚えなさすぎたから調べたら架空請求だった
身近なんですね",returns_replacements,returns_replacements,True,minilm,medium,0.06559586524963379,0.8186591267585754,True,strong,high,1,企業を装って個人情報を取得しようとする詐欺が発生しているようです。架空請求を受け取られた場合、連絡や個人情報を提供しないようご注意ください。追加の詳細が必要な場合は、再度ご連絡ください。,True,True,intent classification has moderate uncertainty; additional customer information is required,False
186,Amazonの誤配送詐欺に引っかかったかも...商品返品して四日目、いまだに返金の連絡来ない( ･ิ..･ิ ) #Amazon https://t.co/ZvDsuieXfr,returns_replacements,returns_replacements,True,minilm,low,0.004222989082336426,0.8585199117660522,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
188,Merci @AmazonHelp @120533 https://t.co/SWMCYXUGkZ,returns_replacements,order_issue,False,minilm,low,0.044191598892211914,0.8926734924316406,True,weak,low,1,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
189,"@AmazonHelp still waiting. What happened to this company ? Unbelievably customer care is careless, as I have called 6 times. https://t.co/E5fd302AkE",order_issue,order_issue,True,minilm,medium,0.0920611023902893,0.8413454294204712,True,moderate,medium,1,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
190,@AmazonHelp What happened to this in shipping? I'm afraid to feed my cats half of these cans because they're that damaged. https://t.co/338hgby0rx,delivery_problem,delivery_problem,True,minilm,medium,0.055024027824401855,0.7007614374160767,True,strong,high,1,I'm sorry to hear about the damaged cans in your shipment. We'd like to help. Please reach out to our Customer Support team via phone or chat here: https://t.co/hApLpMlfHN.,True,True,intent classification has moderate uncertainty; additional customer information is required,False
191,"わしゃAmazon使っとらんよ‼️
下らん詐欺かね？ https://t.co/uSvgTcdbdv",refund_issue,returns_replacements,False,minilm,low,0.04810422658920288,0.7768272161483765,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
193,知らんまにamazonプライム会員にさせられててビビる,delivery_problem,returns_replacements,False,minilm,low,0.008723795413970947,0.8473214507102966,True,strong,high,1,こんにちは！Amazonプライム無料体験をご利用ではありませんか？その場合、自動更新設定をオフにしていないと30日後に有料会員へ移行します。意図しない登録の場合は、退会と返金のお手続きが可能です。詳しくはこちらをご覧ください：https://t.co/IrWGKLX1DV,True,True,intent classification is ambiguous; additional customer information is required,False
196,"kindle舐めんといて。手前に座るから読めない。遊べとクマちゃん持参。イッヌがいると読書はできぬ。
最近国内歴史旅行ばかりで久々のkindle開いたら事切れてたからがっつり充電。
""The Zookeeper's Wife""読めるかな。 #洋書 https://t.co/PDL91vCABC",returns_replacements,returns_replacements,True,minilm,high,0.1302506923675537,0.6954420804977417,True,weak,low,5,,True,True,historical evidence is not strong enough; additional customer information is required,False
197,間違えてAmazonプライムに入っちゃって、送料無料になるようだしまあいいかとそのままなんだけど、何かビデオとか見れるんだっけ？？,prime_membership,prime_membership,True,minilm,low,0.01934036612510681,0.8660557270050049,True,strong,high,1,意図しないご登録とのことで誠に恐縮ですが、色々なプライム特典をご用意しておりますので、ご活用いただければ幸いです。特典については、こちらをご参照ください。https://t.co/JVlaJGORZx,False,True,intent classification is ambiguous,False
198,"ねえこれ何？？？
Amazonなんか使ってないんだけど
アカウントはあるけど何も買ってないんだけど。
誰かにアカウント悪用されてるのかな？？？かけたほうがいいの？？？ https://t.co/enCIy8aFML",returns_replacements,returns_replacements,True,minilm,low,0.024670332670211792,0.736469566822052,True,strong,high,1,ご心配ありがとうございます。最近何か届いた荷物はありませんか？もし、注文していない商品が届いた場合は、お手数ですがカスタマーサービスに連絡してください。https://t.co/J6YEizo6qC,True,True,intent classification is ambiguous; additional customer information is required,False
199,@AmazonHelp  Help,prime_membership,order_issue,False,minilm,low,0.048660218715667725,1.0,True,strong,high,1,@AmazonHelp We'd be happy to help! Could you provide us with a few details about the issue without posting personal information? ^WM,True,True,intent classification is ambiguous; additional customer information is required,False
200,@AmazonHelp it’s now after 9 PM and package has not arrived https://t.co/G5SjqZjUxp,delivery_problem,delivery_problem,True,rule,high,1.0,0.8839178085327148,True,moderate,medium,2,,True,True,historical evidence is not strong enough; additional customer information is required,False
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",delivery_problem,delivery_problem,True,minilm,medium,0.0977141261100769,0.8374844193458557,True,strong,high,1,"We will need to take a closer look at this. Please contact us via phone, chat, or email here: https://t.co/hApLpMlfHN so we can assist you further.",True,True,intent classification has moderate uncertainty; additional customer information is required,False
2,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",delivery_status,delivery_status,True,minilm,medium,0.08235406875610352,0.7635245323181152,True,moderate,high,1,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
4,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,delivery_problem,delivery_problem,True,minilm,high,0.10135972499847412,0.7401573657989502,True,moderate,medium,2,,True,True,historical evidence is not strong enough; additional customer information is required,False
5,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,prime_membership,prime_membership,True,minilm,low,0.01135629415512085,0.726858377456665,True,weak,low,3,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
7,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",account_security,account_security,True,rule,high,1.0,0.7710433006286621,True,strong,high,1,"We're sorry to hear that you're having trouble accessing your account. Please check your inbox for any emails from our account specialist team. If you haven't received one, please contact us directly so we can assist you further.",True,True,high-risk account/payment issue; additional customer information is required,False
18,@123813 ¿habrá ya app suya en Apple TV?,digital_product_support,digital_product_support,True,minilm,low,0.04330480098724365,0.8861186504364014,True,strong,high,1,"Hola, actualmente no contamos con la información sobre una aplicación para Apple TV. Te sugerimos estar al pendiente de nuestro sitio web para novedades.",False,True,intent classification is ambiguous,False
21,"Hey @115821, could someone from customer service, kindly contact me? Thank you.",digital_product_support,refund_issue,False,minilm,medium,0.06285178661346436,0.8330965638160706,True,strong,high,1,"If you would like to contact our support team, please use the following link so we can better assist you: https://t.co/hApLpMlfHN ^WM",False,True,intent classification has moderate uncertainty,False
22,I ordered something from @115821 on Tuesday told it would be arriving next Wednesday and now it says it will arrive Thursday when I'll be out of town. :(,delivery_status,delivery_problem,False,minilm,medium,0.08753460645675659,0.8230165839195251,True,moderate,medium,1,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
23,Excellent service by @115850: Item marked delivered before it's even delivered. Prepaid items left with watchman. One day delivery promise achieved. #pathetic #service #amazonin #AmazonPrime #CustomerService #CustomerExperience #customerfeedback,prime_membership,delivery_problem,False,minilm,low,0.017187654972076416,0.7627087831497192,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
27,Alucino con Dash Button de @115821 @116928. No vaya a ser que tengamos que salir a la calle a comprar y mirar a los ojos de la gente.,returns_replacements,returns_replacements,True,minilm,medium,0.08322596549987793,0.7442811727523804,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
28,sux when you order stuff from amazon prime &amp; you get an email saying “sorry your package wasn’t delivered today” ummm I pay for prime for a reason 🙄,delivery_problem,prime_membership,False,rule,high,1.0,0.807508647441864,True,strong,high,1,"I'm sorry for the frustration, @customer! Were you provided a reason for the delay or a new delivery date? If not, please let us know so we can assist further. ^ZW",True,True,additional customer information is required,False
29,Ugh. Back to the time now where filament orders from @115821 prime now take 3days to deliver,delivery_problem,delivery_problem,True,minilm,medium,0.07138675451278687,0.6718171238899231,True,moderate,medium,5,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
32,@115830 Thank you for the best experience with your online help team. Excellent service and they sorted the issues I had 👍🏼🎉,order_issue,refund_issue,False,minilm,low,0.044860661029815674,0.8404167294502258,True,strong,high,1,Thank you for your positive feedback! We're glad to hear that our team was able to assist you. Could you please provide more details about the issue you faced so we can ensure it doesn't happen again?,True,True,intent classification is ambiguous; additional customer information is required,False
34,Cómo pude vivir tanto tiempo sin @116875 prime? No lo entiendo.,prime_membership,returns_replacements,False,minilm,medium,0.07269120216369629,0.7091212272644043,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
45,"Big ups to @115821 for delivering my wife's Christmas present NOT in a box, but in packaged labeling for the whole house to observe. Guess we'll skip the surprises this year. Jerks.",delivery_problem,delivery_problem,True,minilm,high,0.12740463018417358,0.6912844181060791,True,weak,low,5,,True,True,historical evidence is not strong enough; additional customer information is required,False
49,"So, habe mir dann gestern mal Alexa bestellt. Mal sehen wie das ist #EchoDot @116316",digital_product_support,returns_replacements,False,minilm,low,0.012350380420684814,0.6356473565101624,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
51,"@115850 

Still can't delivery today even though it reached bANGLORE this morning. What kind of service is this ? https://t.co/9Ugaj9oE52",delivery_problem,delivery_problem,True,minilm,medium,0.09841060638427734,0.7417283654212952,True,strong,high,1,I'm sorry to hear about the delay in your delivery. Could you please provide your estimated date of delivery so we can check on it for you? ^MS,True,True,intent classification has moderate uncertainty; additional customer information is required,False
52,@AmazonHelp I have a missing package and cannot seem to find a resolution despite having called Amazon. The phone reps are horrible! -_- Do you have a solution for me???,delivery_problem,delivery_problem,True,rule,high,1.0,0.7722716927528381,True,moderate,medium,1,,True,True,historical evidence is not strong enough; additional customer information is required,False
53,"@115833 can we get the ability to add an echo to multiple multi-room music groups? E.g. group ""upstairs"" and group ""everywhere""",digital_product_support,refund_issue,False,minilm,medium,0.07141634821891785,0.7173446416854858,True,moderate,high,1,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
56,"e anche amazon non si smentisce, appena passato anche il suo corriere. BRAVI 💜",delivery_status,delivery_status,True,minilm,high,0.12069499492645264,0.7954829335212708,True,strong,high,1,Siamo contenti che il corriere sia arrivato! 🎉 Facci sapere se hai bisogno di altro supporto. ^ZC,False,False,"clear intent, strong historical evidence, and grounded response",False
61,@115850 hi why your delivery a gent don't bring pos machine most of the time n insist on cash payment,delivery_status,delivery_problem,False,minilm,low,0.005419015884399414,0.8245545625686646,True,strong,high,1,"I'm sorry to hear about the issue with your delivery person not bringing a POS machine. This can be inconvenient. Could you please provide your order number so we can check the details? Also, let me know if you prefer to pay by card or cash.",True,True,intent classification is ambiguous; additional customer information is required,False
65,@AmazonHelp order has been out for delivery with Intelcom since Sunday and its Tuesday and they are not answering the phone or replying to emails. I WANT MY ORDER #reallypissed #intel worst courtier,order_issue,order_issue,True,minilm,high,0.11692416667938232,0.8103348016738892,True,strong,high,1,"I understand your frustration with Intelcom's delayed delivery. Could you please provide the latest tracking information so we can check on your order? You can find it on the Amazon tracking page. If you haven't received an update by today, we will contact Intelcom on your behalf.",True,True,additional customer information is required,False
71,"@AmazonHelp Is it possible to give someone a gift from the Kindle store in the UK, and have it delivered to their device? Seems it's possible for US customers but not available here? You're losing money if this isn't possible!",digital_product_support,digital_product_support,True,minilm,low,0.0018756389617919922,0.7687529921531677,True,moderate,high,1,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
73,They did this shit to me I️ brought a poster and I️t was a fucking pillow case as the poster 🙄🙄🙄😒 @AmazonHelp @115821 https://t.co/bhJKEkbqc8,order_issue,order_issue,True,minilm,high,0.12561827898025513,0.6137033104896545,True,strong,high,1,"I'm sorry to hear that your order didn't meet your expectations. Could you please provide more details about the product you received, such as the order number and a description of the issue? We'll do our best to assist you.",True,True,additional customer information is required,False
85,"@120169 : yesterday your delivery person updated ""customer not available"" for courier 43437699594.  It is a cheating as no calls were made to the number given. Today, even after multiple calls to customer service since morning courier not delivered. I ordered thru @115821 .",delivery_problem,delivery_problem,True,rule,high,1.0,0.7600727081298828,True,moderate,medium,2,,True,True,historical evidence is not strong enough; additional customer information is required,False
86,"@115850 My friend received an expired deo. Look at the rusted bottle neck! Thanks to your customer support, he has now been hassled to the maximum as he struggles to return it! @115851 Is this what @115821 stands for? #FakeAmazon https://t.co/pVJ8z4Zp6n",order_issue,payment_billing,False,minilm,low,0.013891488313674927,0.5828746557235718,True,weak,low,5,,True,True,high-risk account/payment issue; historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
88,@115821 now includes a photo along with the delivery notification. Look! There’s my package. But wait. That is NOT my front door. #FAIL https://t.co/1ebdAi4kFE,delivery_problem,delivery_problem,True,minilm,medium,0.07958412170410156,0.8236492276191711,True,strong,high,1,"Oh no, it sounds like your package may have been delivered to the wrong address. We apologize for the inconvenience. Please provide us with your order details here: https://t.co/Ni3nAyHVjd. We'll look into this for you.",True,True,intent classification has moderate uncertainty; additional customer information is required,False
93,Second TV attempted to be delivered and Second TV to do a vanishing act. Come on @115830 - we would like our TV now please. Something very fishy about all this...,refund_issue,refund_issue,True,minilm,medium,0.0705348551273346,0.5483682155609131,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
95,@115850 why is there this line on the new book I just received? I like my books neat and clean. https://t.co/UQkIpzWOTe,returns_replacements,refund_issue,False,minilm,low,0.002909064292907715,0.7419934272766113,True,moderate,high,1,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
97,"Recibo una media de quince paquetes mensuales de @116928 y LOS ÚNICOS que siempre entregan con retraso, son @135806 @137605",returns_replacements,returns_replacements,True,minilm,medium,0.05531609058380127,0.7684944868087769,True,strong,high,1,"Hola, lamentamos el retraso en tus entregas. ¿Podrías indicarnos si estos pedidos fueron gestionados por Amazon directamente o por un vendedor externo? También, ¿has contactado con la compañía de transporte para obtener más detalles sobre el retraso?",True,True,intent classification has moderate uncertainty; additional customer information is required,False
98,@115850 i cannot call the coustomer care as they are saying that we couldn't find your order and call gets disconnected. Actually this is my 3rd tweet and no one is responding!! Very disappointed from amazon coustomer care @AmazonHelp,refund_issue,refund_issue,True,minilm,low,0.0401880145072937,0.7896213531494141,True,strong,high,1,I understand your frustration. You can try contacting us again using this link: https://t.co/rS49hgaADF. Please provide more details about your issue so we can assist you better.,True,True,intent classification is ambiguous; additional customer information is required,False
100,"I have 2 echos and set up multi room music playback. How do you switch back and forth between multi room audio and playing on only one? Sometimes I like whole house, sometimes I don't want to wake up my wife.
@115833 #echo #alexa",digital_product_support,digital_product_support,True,rule,high,1.0,0.7478228211402893,True,strong,high,1,"To switch between multi-room audio and playing on just one device, you can control each Echo individually. If you're using the same app to control both, only one will play at a time. To play different music on each device, use separate apps or devices. Would you like to learn more about controlling your Echoes separately?",False,False,"clear intent, strong historical evidence, and grounded response",False
104,#AmazonRechargesQuiz  @Amazonhelp where is a winner list today Dec 1st,prime_membership,prime_membership,True,minilm,low,0.04292994737625122,0.8025264739990234,True,strong,high,1,The winners of #AmazonRechargesQuiz will be announced soon. Please check back later for the announcement. ^AB,False,True,intent classification is ambiguous,False
105,@115830 @AmazonHelp Your Customer Service is shocking! Not what i expect from a big company like you!,prime_membership,order_issue,False,minilm,medium,0.0790606141090393,0.9125752449035645,True,strong,high,1,"I'm sorry to hear you're having trouble. Without sharing personal details, could you please provide more information about your issue so we can assist you better?",True,True,intent classification has moderate uncertainty; additional customer information is required,False
107,@115821 @115817 keeps sending me in circles!! Not a good look! I just want my items or a refund!,refund_issue,refund_issue,True,rule,high,1.0,0.7759204506874084,True,strong,high,1,"I'm sorry to hear you're still having issues, @115817. Could you please provide the most recent tracking information so we can check on your order? If you're looking for a refund, please let us know which Amazon site you ordered from and the order number.",True,True,additional customer information is required,False
108,@115821 Gotta love that I pay for Prime and choose 2 day shipping for you to use a shipping method that's gonna take 5 days.,delivery_problem,delivery_problem,True,minilm,medium,0.07483160495758057,0.8972212076187134,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
114,"Great, Amazon order is showing as delivered ""handed to resident"" at 11.57. They weren't so where are my items @115830",delivery_problem,delivery_problem,True,minilm,low,0.03372246026992798,0.7721880674362183,True,strong,high,1,I'm sorry you haven't received your order. We'd like to look into the delivery and available options here: https://t.co/JzP7hlA23B. Please provide more details about the situation so we can assist you further.,True,True,intent classification is ambiguous; additional customer information is required,False
122,@115821 stop advertising items as same-day delivery if you cannot make good on that,delivery_problem,delivery_problem,True,minilm,low,0.011237025260925293,0.7495075464248657,True,strong,high,1,"I'm sorry to hear about the issues with same-day delivery. To better assist you, could you please provide the order details or the promised delivery date? This will help us look into your specific situation.",True,True,intent classification is ambiguous; additional customer information is required,False
123,Bought some new sheets on @115821. Yay for me that they came pre-used and repackaged with someone else's hair! #barf https://t.co/kHezB8LjiU,returns_replacements,order_issue,False,minilm,medium,0.05307614803314209,0.5926565527915955,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
126,@115850 requested for a replacement of an order after I received the used item. Instead I was asked to send the item to given address even though I've asked for alternate pickup address. Item being a power bank cannot be sent through post.,delivery_problem,refund_issue,False,minilm,low,0.0173187255859375,0.7296947240829468,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
128,@115821 if my package doesn’t arrive today do i get refunded for my one day shipping?,delivery_problem,refund_issue,False,rule,high,1.0,0.8425779938697815,True,strong,high,1,"We're sorry to hear about the delay in your package. To assist you better, could you please confirm the estimated delivery date for your order? You can find this information here: https://t.co/kPmyockpnF.",True,True,additional customer information is required,False
132,@115821 is getting an email from   “ __email__ “ telling me my order hasn’t been shipped because i need to fax credit card information and the billing adress legit or a scam ?,order_issue,order_issue,True,minilm,low,0.017286181449890137,0.741373598575592,True,moderate,medium,3,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
136,"@AmazonHelp your service over the phone and through the internet does not work. Useless, completely useless. I would very much like to speak to some one at your head office. Please provide me with contact details to be able to do this",delivery_problem,order_issue,False,minilm,medium,0.08245885372161865,0.888484001159668,True,strong,high,5,"I'm sorry you're having trouble reaching our customer service. Could you please provide more details about the issue you're facing so we can assist you better? Alternatively, you can request a call back by replying to our email. ^HA",True,True,intent classification has moderate uncertainty; additional customer information is required,False
139,"@AmazonHelp Ademas de que era el regalo de cumpleaños de mi padre, y ahora pues sirve de bien poco que lo envien, ya que el no esta.",returns_replacements,returns_replacements,True,minilm,low,0.01706564426422119,0.7849287390708923,True,strong,high,1,@AmazonHelp Lamento que el regalo de cumpleaños de su padre no llegara a tiempo. Recomiendamos que contacten con nuestro servicio de atención al cliente para verificar las posibles soluciones. ¿El pedido era gestionado por Amazon o por un vendedor independiente?,True,True,intent classification is ambiguous; additional customer information is required,False
142,"@11068 Really pathetic customer service and overall experience. These guys gave a card that got expired and still some idiot @115850 was able to successfully do a auto transaction using this expired card, And now i'm chasing both to get things resolved Wow what a world",payment_billing,payment_billing,True,minilm,high,0.40900301933288574,0.7856825590133667,True,moderate,medium,2,,True,True,high-risk account/payment issue; historical evidence is not strong enough; additional customer information is required,False
147,どうしても欲しかった。アマゾンに頼る。 https://t.co/I0j3ep36sG,returns_replacements,returns_replacements,True,minilm,high,0.13484132289886475,0.7469565868377686,True,weak,low,5,,True,True,historical evidence is not strong enough; additional customer information is required,False
152,@115821 @AmazonHelp Are THERE ANY REAL HUMANS our just #BOTS I CAN'T LOST DUE 2 #UPC #GTIN #ASIN #SKU #ISBN #ASI #ABC #XYZ #TGB ETC. NOT I'M LOCKED OUT #BADCUSTOMEREXPERIENCE #HELP #INSANITY https://t.co/Z5QVIwZoJk,order_issue,order_issue,True,minilm,medium,0.08099982142448425,0.6683120131492615,True,moderate,medium,3,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
155,amazon india sucks,digital_product_support,digital_product_support,True,minilm,medium,0.08813464641571045,0.8287220001220703,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
159,"@115821 I know GREASE IS THE WORD... but it's not what I ordered😩 I've been waiting so patiently for @15474 ROOM 93 vinyl, I get my package today and instead of the queen of pop, I get to listen to we gotogether like Shama Lama lama dingity dong.. https://t.co/x4GdGriix3",returns_replacements,refund_issue,False,minilm,medium,0.09650620818138123,0.5982117652893066,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
160,"I return my order by DTDC courier that's the courier receipt, Amazon India say you send your product on courier than Amazon pay your courier charges
My total courier charges is 170 RS
But Amazon India refund only 40 RS. I requested you
Pay my 170rs as soon as possible@AmazonHelp https://t.co/FCTdiTIVHm",delivery_problem,refund_issue,False,rule,high,1.0,0.7856847643852234,True,moderate,medium,4,,True,True,historical evidence is not strong enough; additional customer information is required,False
170,Biggest weekend of the year for consumers! Got a sweet deal thanks to @140312. But @115821 dropped the ball delivering it today. I was at work while my package was delivered. It says I signed for it while i was at WORK. You guys sure hire some great delivery drivers. FML,delivery_problem,delivery_problem,True,minilm,medium,0.08996295928955078,0.7342373132705688,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
180,"Why have you lied to me @115821.... First you take several days to ship this out, then you charge me twice over a single order and now this? Why have you done this to me I've been a loyal Amazon customer since 2013.... https://t.co/1SYAuBKEIl",delivery_problem,delivery_problem,True,minilm,low,0.01011115312576294,0.7261742949485779,True,moderate,medium,4,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
187,"@115830 after being fobbed off by @amazonhelp im trying to get an answer here, why is my prime delivery which was out for delivery on the 'GUARANTEED' delivery date of 30/11/17 AND THEN AGAIN yesterday when that failed still not here? and now due AGAIN today? getting ridiculous",delivery_problem,delivery_status,False,rule,high,1.0,0.8401656150817871,True,strong,high,1,"Oh no! We're sorry to hear about the delays with your Prime delivery. Could you please provide the order numbers so we can check the delivery status for you? Also, let us know if there seems to be a common carrier issue affecting multiple deliveries.",True,True,additional customer information is required,False
192,Happy Cyber Monkey 2 me. Thanks Amazon Treasure Truck for lil Mia #CyberMonkey #Fingerlings #WowWee #DTLA #treasuretruck https://t.co/5Wb48RkqA2,returns_replacements,order_issue,False,minilm,medium,0.054707884788513184,0.5100837349891663,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
194,Fire tablet and case supposed to come on Monday. Only get the case. Called Amazon to send another tablet. On Wednesday I get a package. It's another case. I call them again and they overnight a tablet. Come back from work and I get a THIRD FUCKING CASE FOR A TABLET I DON'T HAVE. https://t.co/SBxP6y8ThM,delivery_problem,delivery_problem,True,minilm,medium,0.07938671112060547,0.682323694229126,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
